名称,网址
山西财经大学,http://college.gaokao.com/school/179/
内蒙古工业大,http://college.gaokao.com/school/180/
内蒙古医科大,http://college.gaokao.com/school/181/
包头医学院,http://college.gaokao.com/school/182/
内蒙古师范大,http://college.gaokao.com/school/183/
内蒙古财经学,http://college.gaokao.com/school/184/
沈阳工业大学,http://college.gaokao.com/school/185/
沈阳航空工业,http://college.gaokao.com/school/186/
辽宁科技大学,http://college.gaokao.com/school/187/
辽宁工程技术,http://college.gaokao.com/school/188/
辽宁石油化工,http://college.gaokao.com/school/189/
沈阳化工学院,http://college.gaokao.com/school/190/
大连工业大学,http://college.gaokao.com/school/191/
辽宁工业大学,http://college.gaokao.com/school/192/
沈阳农业大学,http://college.gaokao.com/school/193/
大连水产学院,http://college.gaokao.com/school/194/
中国医科大学,http://college.gaokao.com/school/195/
辽宁医学院,http://college.gaokao.com/school/196/
大连医科大学,http://college.gaokao.com/school/197/
辽宁中医药大,http://college.gaokao.com/school/198/
沈阳药科大学,http://college.gaokao.com/school/199/
沈阳医学院,http://college.gaokao.com/school/200/
辽宁师范大学,http://college.gaokao.com/school/201/
沈阳师范大学,http://college.gaokao.com/school/202/
鞍山师范学院,http://college.gaokao.com/school/203/
大连外国语大,http://college.gaokao.com/school/204/
东北财经大学,http://college.gaokao.com/school/205/
中国刑事警察,http://college.gaokao.com/school/206/
沈阳体育学院,http://college.gaokao.com/school/207/
沈阳音乐学院,http://college.gaokao.com/school/208/
鲁迅美术学院,http://college.gaokao.com/school/209/
长春理工大学,http://college.gaokao.com/school/210/
东北电力大学,http://college.gaokao.com/school/211/
长春工业大学,http://college.gaokao.com/school/212/
吉林建筑大学,http://college.gaokao.com/school/213/
吉林化工学院,http://college.gaokao.com/school/214/
吉林农业大学,http://college.gaokao.com/school/215/
通化师范学院,http://college.gaokao.com/school/216/
吉林师范大学,http://college.gaokao.com/school/217/
吉林工程技术,http://college.gaokao.com/school/218/
长春师范大学,http://college.gaokao.com/school/219/
白城师范学院,http://college.gaokao.com/school/220/
长春税务学院,http://college.gaokao.com/school/221/
吉林体育学院,http://college.gaokao.com/school/222/
吉林艺术学院,http://college.gaokao.com/school/223/
黑龙江大学,http://college.gaokao.com/school/224/
燕山大学,http://college.gaokao.com/school/225/
北京服装学院,http://college.gaokao.com/school/126/
北京印刷学院,http://college.gaokao.com/school/127/
北京建筑大学,http://college.gaokao.com/school/128/
北京石油化工,http://college.gaokao.com/school/129/
北京电子科技,http://college.gaokao.com/school/130/
北京农学院,http://college.gaokao.com/school/131/
首都医科大学,http://college.gaokao.com/school/132/
首都师范大学,http://college.gaokao.com/school/133/
首都体育学院,http://college.gaokao.com/school/134/
北京第二外国,http://college.gaokao.com/school/135/
北京语言大学,http://college.gaokao.com/school/136/
北京物资学院,http://college.gaokao.com/school/137/
外交学院,http://college.gaokao.com/school/138/
中国人民公安,http://college.gaokao.com/school/139/
国际关系学院,http://college.gaokao.com/school/140/
中国音乐学院,http://college.gaokao.com/school/141/
中央美术学院,http://college.gaokao.com/school/142/
中央戏剧学院,http://college.gaokao.com/school/143/
中国戏曲学院,http://college.gaokao.com/school/144/
北京电影学院,http://college.gaokao.com/school/145/
北京舞蹈学院,http://college.gaokao.com/school/146/
天津科技大学,http://college.gaokao.com/school/147/
天津工业大学,http://college.gaokao.com/school/148/
中国民航大学,http://college.gaokao.com/school/149/
天津理工大学,http://college.gaokao.com/school/150/
天津农学院,http://college.gaokao.com/school/151/
天津中医药大,http://college.gaokao.com/school/152/
天津师范大学,http://college.gaokao.com/school/153/
天津外国语学,http://college.gaokao.com/school/154/
天津商业大学,http://college.gaokao.com/school/155/
天津体育学院,http://college.gaokao.com/school/156/
天津音乐学院,http://college.gaokao.com/school/157/
天津美术学院,http://college.gaokao.com/school/158/
河北大学,http://college.gaokao.com/school/159/
石家庄经济学,http://college.gaokao.com/school/160/
河北科技大学,http://college.gaokao.com/school/161/
河北建筑工程,http://college.gaokao.com/school/162/
华北煤炭医学,http://college.gaokao.com/school/163/
承德医学院,http://college.gaokao.com/school/164/
河北师范大学,http://college.gaokao.com/school/165/
唐山师范学院,http://college.gaokao.com/school/166/
廊坊师范学院,http://college.gaokao.com/school/167/
邢台学院,http://college.gaokao.com/school/168/
石家庄铁道学,http://college.gaokao.com/school/169/
山西大学,http://college.gaokao.com/school/170/
山西农业大学,http://college.gaokao.com/school/171/
山西医科大学,http://college.gaokao.com/school/172/
长治医学院,http://college.gaokao.com/school/173/
山西师范大学,http://college.gaokao.com/school/174/
太原师范学院,http://college.gaokao.com/school/175/
晋中学院,http://college.gaokao.com/school/176/
运城学院,http://college.gaokao.com/school/177/
忻州师范学院,http://college.gaokao.com/school/178/
山西财经大学,http://college.gaokao.com/school/179/
内蒙古工业大,http://college.gaokao.com/school/180/
内蒙古医科大,http://college.gaokao.com/school/181/
包头医学院,http://college.gaokao.com/school/182/
内蒙古师范大,http://college.gaokao.com/school/183/
内蒙古财经学,http://college.gaokao.com/school/184/
沈阳工业大学,http://college.gaokao.com/school/185/
沈阳航空工业,http://college.gaokao.com/school/186/
辽宁科技大学,http://college.gaokao.com/school/187/
辽宁工程技术,http://college.gaokao.com/school/188/
